,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Meiganga,100,CM,1567041320,95,6.52,14.29,64.67,3.27
1,Clyde River,1,CA,1567041322,71,70.47,-68.59,50.0,3.36
2,East London,25,ZA,1567041323,81,-33.02,27.91,46.67,4.72
3,Kapaa,40,US,1567041324,62,22.08,-159.32,87.8,10.29
4,Contamana,80,PE,1567041326,69,-7.35,-75.01,78.35,2.57
5,Rikitea,48,PF,1567041327,71,-23.12,-134.97,70.43,14.99
6,Kaitangata,100,NZ,1567041328,65,-46.28,169.85,46.99,15.01
7,Lompoc,1,US,1567041074,82,34.64,-120.46,75.0,4.7
8,Whyalla,1,AU,1567041331,57,-33.04,137.58,51.8,12.75
9,Miri,4,NG,1567041332,96,10.31,9.75,70.07,2.15
10,Aksarka,100,RU,1567041333,81,66.56,67.8,40.37,14.03
11,Iqaluit,75,CA,1567041334,81,63.75,-68.52,42.8,8.05
12,Poum,22,MK,1567041336,65,41.28,20.71,60.89,2.44
13,Namatanai,93,PG,1567041337,76,-3.66,152.44,81.05,5.3
14,Albany,90,US,1567041048,88,42.65,-73.75,69.01,3.67
15,Cabo San Lucas,75,MX,1567041222,78,22.89,-109.91,88.0,5.82
16,Kodinsk,89,RU,1567041341,92,58.6,99.18,53.33,4.09
17,Esperance,0,AU,1567041342,33,-33.86,121.89,59.0,19.46
18,Chernyshevskiy,0,RU,1567041343,70,63.01,112.47,56.03,1.1
19,Rameswaram,89,IN,1567041344,72,9.28,79.3,83.03,12.21
20,Luganville,75,VU,1567041346,74,-15.51,167.18,80.6,11.41
21,Yellowknife,40,CA,1567041347,37,62.45,-114.38,68.0,11.41
22,Ketchikan,1,US,1567041307,72,55.34,-131.65,66.2,19.46
23,Longyearbyen,75,NO,1567041349,81,78.22,15.63,46.4,13.87
24,Hobart,20,AU,1567041270,57,-42.88,147.33,53.01,10.29
25,Vaini,40,IN,1567041352,100,15.34,74.49,69.8,2.1
26,Cape Town,0,ZA,1567041300,75,-33.93,18.42,50.0,1.12
27,Coihaique,75,CL,1567041354,93,-45.58,-72.07,35.6,4.7
28,Pevek,100,RU,1567041356,97,69.7,170.27,40.19,1.34
29,Avarua,89,CK,1567041357,88,-21.21,-159.78,75.2,16.11
30,Talnakh,40,RU,1567041358,81,69.49,88.39,53.6,2.24
31,Kaspiyskiy,0,RU,1567041360,45,45.39,47.37,58.01,11.9
32,Pochutla,20,MX,1567041361,62,15.74,-96.47,87.8,9.17
33,Kodiak,1,US,1567041362,64,39.95,-94.76,78.8,3.36
34,Yagodnoye,100,RU,1567041364,76,62.52,149.63,44.33,2.91
35,Abalak,30,NE,1567041365,54,15.46,6.28,80.51,9.55
36,Leon,1,US,1567041220,68,40.74,-93.75,75.2,4.09
37,Zhezkazgan,93,KZ,1567041367,20,47.8,67.71,64.85,12.84
38,Port Elizabeth,90,US,1567041369,78,39.31,-74.98,75.99,4.7
39,Bratsk,40,RU,1567041370,93,56.15,101.63,59.0,4.47
40,Baryshivka,0,UA,1567041371,71,50.36,31.33,64.4,6.71
41,Hermanus,0,ZA,1567041373,71,-34.42,19.24,50.0,3.0
42,Sherman,1,US,1567041244,62,33.64,-96.61,89.6,3.36
43,Katherine,0,AU,1567041375,11,-14.47,132.26,73.4,17.22
44,Punta Arenas,75,CL,1567041376,81,-53.16,-70.91,35.6,26.4
45,Sao Joao da Barra,100,BR,1567041331,78,-21.64,-41.05,64.85,2.82
46,Atuona,58,PF,1567041379,76,-9.8,-139.03,79.07,20.15
47,Upernavik,100,GL,1567041380,81,72.79,-56.15,41.45,12.73
48,Laguna,40,BZ,1567041381,74,16.17,-88.94,84.2,9.17
49,Pacific Grove,90,US,1567041382,77,36.62,-121.92,80.01,8.05
50,Faanui,1,PF,1567041384,80,-16.48,-151.75,78.53,15.32
51,Busselton,0,AU,1567041385,61,-33.64,115.35,64.99,19.33
52,Ormara,98,PK,1567041386,80,25.21,64.64,81.95,4.65
53,Cidreira,0,BR,1567041388,79,-30.17,-50.22,63.59,13.11
54,Ushuaia,75,AR,1567041389,93,-54.81,-68.31,35.6,18.34
55,Lasa,0,CY,1567041390,64,34.92,32.53,78.8,8.05
